"symbol","mom_z_ts","mom_z_cs","vol_z_ts","vol_z_cs","skew_z_ts","skew_z_cs","ret_1m_z_ts","ret_1m_z_cs","dfp_z_ts","dfp_z_cs"
"DPZ",-0.929315549204847,-0.425596396404763,-0.711335164748946,0.0705634270086147,-0.322532703332055,-0.291602229199766,0.430852998873759,0.405014799151518,-0.364123086908764,-0.320239787181657
"DRI",-0.249068185915403,0.224432500505673,-1.00217350096098,-0.997112792376856,-0.443137083552972,-0.470081838873691,-0.215791116535376,-0.344765932929645,-0.912157780062531,-0.140430189800463
"DTE",0.52541868712487,0.441182556623669,-0.549722843520649,-1.21599676986132,1.09123205587434,0.526193857702617,0.0242989716182913,-0.156205231015813,0.483737987109523,0.769890563922401
"DUK",0.0534312778615142,0.181196109863121,-1.33240133762288,-1.46672210392764,-0.852484250251951,-0.906624133436316,-0.0734121642036812,-0.225763355122465,0.975067709889,0.98358625810158
"DVA",-1.02126414790197,-0.806103957321353,1.10822454393265,1.24266309630745,0.545202319387419,1.00072092655694,-0.0353778023992777,-0.228765652762429,-1.24828219898215,-1.21975257864671
"DVN",-0.344833000681885,-0.336231289533982,-1.2590626038784,-0.164242151992792,-1.11024380279495,-0.653100553604089,0.753163022349599,1.57082547887137,0.329023273256377,-0.675896863058101
"DXCM",-0.642469250557067,-0.617465515623941,-0.467473240297115,2.33477164724017,-1.49778023863893,-0.715972298658837,0.471471175019035,0.898430065741367,-1.86402240877878,-2.74204307550935
"EA",0.760616193782534,0.737079791625525,0.102017305036885,0.00868743697166607,-0.452959540756005,-0.466868546058877,-0.0328244762857051,-0.171469614456579,1.05693870588614,0.98358625810158
"EBAY",1.00694437838401,1.39099001468925,-0.652209420448211,0.0336383726191539,-0.559039205362952,0.349717648260682,0.0822699299202744,-0.0123452193461473,0.410438015346282,0.354160881237915
"ECL",0.0561327194000158,0.275678379655818,-0.311273010965473,-0.806728621109776,0.646587248054208,0.91414360581315,1.03213181665639,0.67189477185926,0.742918341430128,0.953400558999654
"ED",-0.343768551115839,-0.0458503141538472,-0.037763447912077,-0.979695195560602,-0.308267261424577,-0.583439624778794,0.597062485077819,0.215023275104276,-0.140445345505972,0.383626959539015
"EFX",-0.457319136700648,-0.181894425721539,0.41496166028667,0.93354633543691,0.706463816813591,0.517944704515465,-0.0243590992866727,-0.191075930970637,-1.23381290030276,-1.08456786401152
"EG",-1.00042923801353,-0.424409238568755,-0.437517084882743,-0.622297905344665,-0.211013298848485,-0.441212165263787,-0.14123612714982,-0.312363503788342,-1.25107242791257,-0.305648651334602
"EIX",-2.28770328963857,-1.51013955286609,1.35762407466628,0.440324604858145,-1.32189631551019,-3.21167665641293,0.754055402801426,0.541544903439332,-1.22803869524749,-1.00532474049247
"EL",0.594601314967941,0.804810853391948,1.68409087434462,1.58119541576528,-1.46946350545515,-0.703763848276806,-0.327634446936826,-0.614947284705798,-0.484125768322237,-1.54428078982884
"ELV",-1.50225469920379,-0.87985540310412,1.17766007061211,0.382758043633358,-1.89374319314066,-2.64798418607294,0.714993574731168,0.581677208173648,-2.56580086104601,-1.62405583775721
"EME",-0.0943122371386741,0.823264176542277,1.57931375054058,0.905564189885031,0.589724629762863,1.64454247745426,-1.39778746802602,-1.49917386486783,-0.258714114682406,0.36650821239812
"EMR",-0.62965270766616,-0.132934345728032,0.471257074050344,0.330512526716902,0.88497580732247,0.810815795031729,-0.687577588601694,-0.838104110419451,0.122481081258776,0.463251266109619
"EOG",-0.68617556424766,-0.633840140044166,-1.31439178566036,-0.676697240707863,-0.302376281924287,-0.108872511908756,0.0628596160876405,-0.0496816176620665,0.0913907967121842,-0.133922055504177
"EPAM",-1.5623385801563,-1.88777974066313,0.300884632242129,2.04518797339989,0.761877678788218,0.288277065280728,1.01739606386522,1.60801956845907,-0.574019129324925,-1.66557560047347
"EQIX",-1.66745286415881,-0.813416122365861,0.180880730957661,-0.43969839133852,-0.594362740000486,-1.00343744800328,-1.84017852387177,-1.69022428351827,-1.69871142505705,-0.492349001472145
"EQR",-0.770138144445303,-0.566476314777365,-0.875370611514811,-1.09241423102063,-0.44955217408448,0.00474555839109198,0.596573668274325,0.21499321729312,-0.239367897272395,-0.126661454837883
"EQT",0.195733233764291,0.724172544060481,-0.850231433728608,0.176483110010578,0.160979451851046,1.47343418746515,0.772919349878964,1.55189404438036,1.20009675234984,0.98358625810158
"ERIE",-1.45135896671492,-1.06934325952375,0.765501721022272,0.590169584441023,-0.0409725712716831,0.747825907715721,-0.0583925327479597,-0.172911552367383,-2.3390031510678,-2.05910585332444
"ES",0.710181077361939,0.40878603423517,0.860126389872358,-0.426918650696605,0.750631191687182,-0.138943324482208,-1.70249594692988,-1.49901661057896,0.0667974439494416,0.366589310734066
"ESS",-0.802611745658905,-0.526721711690625,0.192561190831865,-0.53079080759181,0.671040417872936,0.701631608410208,0.682160411170563,0.324263131013583,0.0469241815166495,0.0866119971330284
